Aagesdatter
Aarestrup
Aasen
Abelsen
Abenius
Abildgaard
Abrahamsdotter
Abrahamsen
Abrahamsson
Abramsdotter Brännström
Abramsson
Achton
Ackerman
Ackermann
Adamsson
Adler
Adolfsson
Adtzarsdotter
Adtzarsen
Adtzersdotter
Adtzerson
Adtzersson
Adtzersson Forsström
Adtzersson Rug
Af
af Forsell
af Ström
Afzelius
Agelmo
Agersø
Agerup
Aggerup
Agner
Agrell
Ahl
Ahlberg
Ahlbin
Ahlbom
Ahlgren
Ahlgrensson
Ahlin
Ahlmark
Ahlqvist
Ahlsell
Ahlstedt
Ahlstrand
Ahlström
Ahlén
Ahnfeldt
Ahrenberg
Ahrle
Albertsson
Albinsson
Albrechtsson
Aldewelt
Aldrin
Alexandersdotter
Alexandersson
Alfredsson
Algotsson
Ali
Alin
Allard
Allesen
Allesen Bunkeflod
Allesen de Fine Bunkeflod
Allesen-Vernö
Allgén
Alling
Allison
Alm
Almer
Almgren
Almkvist
Almlöf
Almquist
Almqvist
Almström
Almén
Alpsten
Alrom
Alström
Alströmer
Alsén
Altenburg
Alteresius
Amundson
Ancher
Anchersen
Ancker
Ander
Anderberg
Anderdotter
Anders
Andersdatter
Andersdotter
Andersdotter Andersson
Andersdotter Bager
Andersdotter Lundberg
Andersen
Andersen Baadh
Anderson
Andersson
Andersson Ahl
Andersson Anderberg
Andersson Anderström
Andersson Berglund
Andersson Bock
Andersson Boström
Andersson Bränn
Andersson Ekdahl
Andersson Eklund
Andersson Fastberg
Andersson Fridlund
Andersson From
Andersson Granat
Andersson Haeffner
Andersson Hagelin
Andersson Hejde
Andersson Hjälte
Andersson Lind
Andersson Lindqvist
Andersson Lindström
Andersson Lundström
Andersson Odhnoff
Andersson Olin
Andersson Rehn
Andersson Sandberg
Andersson Sjöström
Andersson Skog
Andersson Strand
Andersson Törne
Andersson Wikman
Andersson Winberg
Andersson Östman
Andesen
Andrassy
Andreasdatter
Andreasdotter
Andreasen
Andreasson
André
Andrén
Angel
Angelberg
Angelin
Anthon
Antman
Antonsson
Appelberg
Appelgren
Appelman
Appelmark
Appelqvist
Arbman
Arborelius
Arctander
Arelsson
Arendorf
Arendtson
Arent
Arentsdatter
Arildsdotter
Armfelt
Arnander
Arnell
Arnesson
Aronsson
Arosenius
Arvidsdotter
Arvidsson
Ascanius
Aschberg
Asisef
Ask
Ask-Upmark
Asker
Askulin
Asmundsdotter
Asmundsson
Asmunsson
Asmussen
Asp
Asplund
Asproth
Assarsdotter
Assarsson
Assarsson Åkerman
Assersdotter
Assersson
Assmundsson
Aubert
Augustin
Augustsson
Aulander
Aulin
Aurelius
Avander
Axell
Axelsdotter
Axelson
Axelsson
Axén
Baagøe
Baark
Bach
Bache
Bachmann
Back
Backe
Backlund
Backman
Backström
Baeckström
Bager
Bagge
Bagger
Bahnson
Bahr
Bang
Bangert
Barck
Barclay
Bard
Barfod
Barfoed
Barfred
Bark
Barlit
Bartholdson
Barting
Barting Haeffner
Barzen
Basballe
Bathe
Battus
Bauer
Baum
Baumann
Baumgarten
Bay
Bech
Beck
Becker
Beckman
Beckmann
Beckwith-Lohmeyer
Behm
Belfrage
Bemarell
Benander
Bencke
Bendiksdatter
Bendz
Benedictson
Benedikt
Bengtsdotter
