Afghanistan
Albanien
Algeriet
Andorra
Angola
Antigua och Barbuda
Argentina
Armenien
Australien
Azerbajdzjan
Bahamas
Bahrain
Bangladesh
Barbados
Belgien
Belize
Benin
Bhutan
Bolivia
Bosnien och Hercegovina
Botswana
Brasilien
Brunei
Bulgarien
Burkina Faso
Burma
Burundi
Centralafrikanska republiken
Chile
Colombia
Cooköarna
Costa Rica
Cypern
Danmark
Djibouti
Dominica
Dominikanska republiken
Ecuador
Egypten
Ekvatorialguinea
El Salvador
Elfenbenskusten
Eritrea
Estland
Etiopien
Fiji
Filippinerna
Finland
Frankrike
Förenade Arabemiraten
Gabon
Gambia
Georgia
Ghana
Grekland
Grenada
Guatemala
Guinea
Guinea-Bissau
Guyana
Haiti
Honduras
Indien
Indonesien
Irak
Iran
Irland
Island
Israel
Italien
Jamaica
Japan
Jemen
Jordanien
Kambodja
Kamerun
Kanada
Kap Verde
Kazakstan
Kenya
Kina
Kirgizistan
Kiribati
Komorerna
Kongo-Brazzaville
Kongo-Kinshasa
Kosovo
Kroatien
Kuba
Kuwait
Laos
Lesotho
Lettland
Libanon
Liberia
Libyen
Liechtenstein
Litauen
Luxemburg
Madagaskar
Makedonien
Malawi
Malaysia
Maldiverna
Mali
Malta
Marocko
Marshallöarna
Mauretanien
Mauritius
Mexiko
Mikronesien
Moçambique
Moldavien
Monaco
Mongoliet
Montenegro
Namibia
Nauru
Nederländerna
Nepal
Nicaragua
Niger
Nigeria
Niue
Nordkorea
Norge
Nya Zeeland
Oman
Pakistan
Palau
Panama
Papua Nya Guinea
Paraguay
Peru
Polen
Portugal
Qatar
Rumänien
Rwanda
Ryssland
Saint Kitts och Nevis
Saint Lucia
Saint Vincent och Grenadinerna
Salomonöarna
Samoa
San Marino
São Tomé och Príncipe
Saudiarabien
Schweiz
Senegal
Serbien
Seychellerna
Sierra Leone
Singapore
Slovakien
Slovenien
Somalia
Spanien
Sri Lanka
Storbritannien
Sudan
Surinam
Sverige
Swaziland
Sydafrika
Sydkorea
Sydsudan
Syrien
Tadzjikistan
Taiwan
Tanzania
Tchad
Thailand
Tjeckien
Togo
Tonga
Trinidad och Tobago
Tunisien
Turkiet
Turkmenistan
Tuvalu
Tyskland
Uganda
Ukraina
Ungern
Uruguay
USA
Uzbekistan
Vanuatu
Vatikanstaten
Venezuela
Vietnam
Vitryssland
Västsahara
Zambia
Zimbabwe
Österrike
Östtimor
